source_tweet,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6,reply_7,reply_8,reply_9,reply_10,reply_11,reply_12,reply_13,reply_14,reply_15,reply_16,reply_17,reply_18,reply_19,reply_20,reply_21,reply_22,reply_23,reply_24,reply_25,reply_26,reply_27,reply_28,reply_29,reply_30,reply_31,reply_32,reply_33,reply_34,reply_35,reply_36,reply_37,reply_38,reply_39,reply_40,reply_41,reply_42,reply_43,reply_44,reply_45,reply_46,reply_47,reply_48,reply_49,reply_50,reply_51,reply_52,reply_53,reply_54,reply_55,reply_56,reply_57,reply_58,reply_59,reply_60,reply_61,reply_62,reply_63,reply_64,reply_65,reply_66,reply_67,reply_68,reply_69,reply_70,reply_71,reply_72,reply_73,reply_74,reply_75,reply_76,reply_77,reply_78,reply_79,reply_80,reply_81,reply_82,reply_83,reply_84,reply_85,reply_86,reply_87,reply_88,reply_89,reply_90,reply_91,reply_92,reply_93,reply_94,reply_95,reply_96,reply_97,reply_98,reply_99,reply_100,reply_101,reply_102,reply_103,reply_104,reply_105,reply_106,reply_107,reply_108,reply_109,reply_110,reply_111,reply_112,reply_113,reply_114,reply_115,reply_116,reply_117,reply_118,reply_119,reply_120,reply_121,reply_122,reply_123,reply_124,reply_125,reply_126,reply_127,reply_128,reply_129,reply_130,reply_131,reply_132,reply_133,reply_134,reply_135,reply_136,reply_137,reply_138,reply_139,reply_140,reply_141,reply_142,reply_143,reply_144,reply_145,reply_146,reply_147,reply_148,reply_149,reply_150,reply_151,reply_152,reply_153,reply_154,reply_155,reply_156,reply_157,reply_158,reply_159,reply_160,reply_161,reply_162
forget moment thousand muslim australia rejoice,,mean aussie aussie aussie n,judge not know fact hostage,sharia democracy happen terrorist attack,democracy clash democracy sharia pakistan flavor sharia sharia finally,,yes yes let withhold judgment til happen learn,simpleton commentator rush muslims disown revere jihadi,spare thought million jihad victim china mideast usa uk thai philippines india,fact people rejoice right know shit,great time mosque open day wear hijab,exactly amp like antigovt have endlessly ridicule security stepup backpedal treachery,charia revolution come wall defend muslims,predict happen heart break neighbour ditch go scum,time baseless crap,picture clearly black flag jihad rocket science,,yes correct amp good time whitewash islam teach,lakemba n blow mosque,look place like pakistan sharia guarantee terrorist attack,,room france spain italy germany burma indonesia etc,strong prime minister happen prepared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insanity come australia amp liberal lunatic concern political correctness,think australia egypt,obama administration coordinate aussie talking point sound like,workplace violence fight send theirs morgue,uh commish far know peta use flag like,judt noisy pre xmas party,twould apear america amp australia hav sum tingz comon pcz terorists racism etc,total denial unreal,liberal political correctness crock crap place world period,qualify hostage take jihadi flag terrorist event,come australia amp lib lunatic concern political correctness,kricky shoot bastard,,think cautious sake hostage,,,,,head ass sand incredibly dense amp blind people,art denial ridiculous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today threat terrorism high yrs ago result support terror,divide culprit gain information abeldanger surmise know detail,war instigate political commercial gain criminal,,know plot need speak hang,meh guiness list lsd powerful drug existence fun lead,end topic faith patriot,oops accidently type mean,nuff say nice chatting,point somebody bad lsd trip ll end mental torture pain ur control ur mind,  operative deeply compromise die reveal relative eliminate north korea,go come pakistan not learn,ten option induce cooperation,protect drug trade secret cia torture instill fear gain information,find escort little eit exploration,,mccain ahole surprising talk eit recently,guy try treason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pray sydney thank heaven stream foreign network american medium completely mia,confirm cnn give sunday night race relate breaking story,,fox news online,  ue newstalk give good coverage,thank god technology social medium know,stun cnn finally go live,move baby seal viral video report heaven,seriously kind disgusting break,bad conceal carry australia,,pray people sydney,  friend austraila say anti gun false flag global leader agenda push un small arm treaty,fair cnn say police incident,pray sydney thank heaven stream foreign network american medium completely mia,,usual will report make muzzie look like victim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
think mate sydney hope okay,,,,wait day log amp scream lung see follower list follow p,,,wait day log amp scream lung see follower list follow d,,yes family thought prayer,,,,,,hey dan follow,,,,,dannnnnnnnnnnn come brazilll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
respect people sydney show solidarity good way deal extremism,respect people sydney show solidarity good way deal extremism,sure politician stop love start stir hate,respect people sydney show solidarity good way deal extremism,try find form word support sydneysider sum perfectly thankyou,,see racist comment twitter facebook,,,respect people sydney show solidarity good way deal extremism,people right thank look,respect people sydney show solidarity good way deal extremism,read timeline bloody extremist wonder upset people stand,,  cough melbourne cough,,,united support muslim community amp want peaceful resolution,woman inspire sydney woman start melbourne,side extremist eh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour focus hostage situation sydney americans die gunshot,instead percent fail success rate method,  amp wrong,hand die regardless way tapdance blood,doubt dead people care,good fair point u personal knowledge suicide,sorry understand statistic work door run adult talk,psychology completely opinion base go desire perceive norm b,notable gun control country suicide rate comparable exist magic solution,obviously gun murder people kill gun dead,unlike response fa homicide prosecution costly incarceration bad optic,people want kill unfortunate gun contorl change,good point legality method shoot hang,  fact firsthand knowledge death suicide puleeeeez,gun murder death toll month,know people commit suicide citizen see gun,brilliant defense gun ignorance alive,,investigate overall gun injury surely,bow people late southern hemisphere thank,  day year suppose possible,sydney police impressive cool considered careful,lethality legality sorry try argumentative want opinion,,,far people perish poisoning fall x mv accident ' perspective,course people choose effective mean fault decision,,actually man likely use violent mean suicide likely,american psychological association disagree,gun death nearly intentional accident definition,psychology empirically base account cultural societal norm,,unfortunately fixate gun death exactly try imply,large chance fail suicide attempt dead people violent mean,,think make choice like mean matter,australia show hypothesis false,think try kill care legality method,yes suicide homicide,thank hopefully hostage piece,indians die traffic accident,like people want parade ignorance statistic today,intentional suicide unlawful easily preventable mean,exactly aus actually show suicide substitution real people hangr,fail help need,,,,firearm homicide lt violent crime amp death homicide city,oh magic solution course wonder death,,tapdance blood suicide dead regardless gun change,people choice agree mean need help,,sorry point fact ignorance war peace right,right suicide gun death,,,try question go succeed,succeed try maim exactly go improve outlook,,people choose kill effective disfigured maimed life,think people want kill go,succeed man pill like woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hat guy awesome faith humanity restore,love love guy,,idiot kafir save humanity amp jihadi pig kill lear kafir u r war,,feel rt hat guy awesome faith humanity restore,awww love great work help feel save,wonderful muslim non muslims come atrocity,amazing story ppl right live peacefully safely neighborhood religious ppl,,proud fellow australian walk tall religious attire walk,,,,,,,,,heartwarming loud clear racist welcome,,loud clear racist welcome,,omg nearly cry read,hat guy awesome faith humanity restore kudo,,feel humanity love feel safe think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hostage escape gunman see get extremely agitated shouting remain hostage,hi chris think able talk bbc newsnight live tomorrow morning time well,jesus h christ,understand dosnt police sniper idiot,sane arrogant self centre fuckwit,yes possibly know type glass worth bullet ricochet instead,exactly think s get tell public hope wrong,irresponsible journalism journalist consideration family friend hostage,exactly shoot terrorist police commissioner deputy incompetence,normally sniper fire shoot break glass second hit target conjecture,  terror plot foil fbi set entrapment know psyop public,accuse people rubberneck terrorist attack,need dead man switch,right hopefully ok,,report accuse job journo direct anger,gun load public relation stunt gain public approval war spending,hostage escape gunman see get extremely agitated shout remain hostage,end result public approval spending draconian surveillance law security,medium drive home narrative condition viewer work like charm,s know police question,yeah maybe reveal,way s end result sure,hi chris short bbc thank,,maybe clear shot d hate regret take later,probably line window civilian shooting injure,lose respect journalist stop car crash journalism start take role seriously,hi chris mark bbc radio world uk see cnn talk,hostage escape gunman see get extremely agitated shouting remain hostage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break sydney hostage taker believe self style muslim cleric face string violent charge,iranian bear refugee tell australian deport iran problem solve,break sydney hostage taker believe self style muslim cleric face string violent charge,,report info help sydney police hostage save later active situation gunman use socmedia crave attn,break sydney hostage taker believe self style muslim cleric face string violent charge,aussie govt end night send kind gas c duct sedate terrorist unconscious,,,creepy reason walk unmonitored place ugh,prob cuz innocent people inside gun blaze gas throwing,,break sydney hostage taker believe self style muslim cleric rep muslims sensationalize add fuel,iranian refugee grow sunni shia family baluch kurd tony abbott agent,break sydney hostage taker believe self style muslim cleric face string violent charge loser,break sydney hostage taker believe self style muslim cleric face string violent charge,,ah open fire stun grenade get hostage,aussie govt use gas include terrorist unconscious storm amp capture,break sydney hostage taker believe self style muslim cleric face string violent charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
call amp australia hostage fear amp hate,tony salivate bring race riot,prayer religious hogswollop get point,bring law stop dissension amp privacy amp bob uncle brandi king,yeah need religion,atheist will welcome,call amp e,pray hostage taker pray humanity pray calm pray end peacefully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
likely carry ' lone wolf ' minimal link organize terror group expert say,lone wolf lately,canadian soldier murder canada november lonewolf jihadist,look like wannabe wrong flag probably market want aus police right flag moron,,apparently coreligionist link require time explore connection terror prevention,lot lone wolf lately eh sound lone wolf keep happen,,damn mean massive reaction australia mind find link,s think terrorist blow guy probably scared twit,,write book hostage terrorist terrorist hostage,want publicity s shoot sob,yes hallmark deluded loner flag tell v scary irrationality,dirty mention innocent civilian w cause radar west coast ban,lone wolf islamic terrorist,likely carry ' lone wolf ' minimal link organize terror group,help amp feel well terror attack nonetheless,witness say threaten jihadis msm afraid,minimalisze risk take,apparently isis advocate supporter demand flag release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney siege end police storm lindt cafe hostage run,m nh t like share nha u h t ng lg,lot worried muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australian use hashtag solidarity muslim sydney siege,  wish oz people show solidarity jewish population summer story,local school jewish happy chanukah,hear different account good hear support happy chanukah amp end soon amp peacefully,hear laughter background accompany comment bunch gullible sucker,s true patriot australian use hashtag solidarity muslim sydney siege,,,aussie classy people,s true australian use hashtag solidarity muslim sydney siege,nice gesture primarily solidarity hostage worry later,,not speak time sydney will let hatred win amp take care safety vulnerable ppl,wait people hold gun point freakin coffee shop,think hostage need solidarity,,taking hostage situation abuse freedom god allow increase racial religious issue sag,wonderful wrong hostage actually grave danger feel focus,lot cowardly ppl,thank important respect unfortunately result sad salvador,yes yes come,australian use solidarity muslim sydney siege proud aussie today,,hey speak buddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australia reaction magnificent,australian probably deserve x mas present send troop fight isis terrorist iraq idiot send,reddit link offer request help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pray people sydney need peace world sheesh,pray people sydney need peace world sheesh,totally agree pray people hold amp family tear apart senseless death,pray people sydney need peace world sheesh,,live min away situation scare hell pray,,,like muslim think want peace,peace amp love,,  right carry handgun,  take side peace preach peace get behead isis destroy,,bad hearing happen live happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney attack late th hour people escape gunman demand speak pm isis flag claim bomb amp city,gunman get take rest hostage,sorry early report say update,early report say mean,shooter australia place talk,dumbass multiple opportunity kill bastard sniper wtf wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perpetrator target citizen irrespective faith cut anti muslim bigotry twitter,oh right doctrine fundamentalist use literal intepretation mean word word,criticize islam constitute anti muslim bigotry,perpetrator definitely shia ponder,hezbollah terrorist attack anti muslim bigotry truth report,,yes unfortunately bigotry rely rational thinking,true muslim extremist kill fellow muslim lot,starter huge muslim jihadi flag hang terrorist building clue,lol problem kind exceedingly rare buddhist mormon muslims champion crap,agree fair bet cafe politely ask religion start,' bigotry ' aim terrorist muslim yes disgraceful cunt yes muslim like,terrorist idea commit terror religion,give shit kill enemy,bigot excuse express voice feel result,u conveniently ignore violent text doctrine play victim long suit agenda,apologist excuse pat shoulder misrepresent situation amp criticize,wait fact know,religion yes rely rational thinking cuz mo fly magic horse,anti muslim bigotry twitter morning see plenty moral equivalence lefty wanker tho,suppose ignore perp muslim religion muslim persecution gay woman,sadly backlash islamophobia social medium ground increase,b looney know forget nasty sword turn b plastic,,khaled islamophobia lose sting call infidel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
female hostage appear turn light lindt cafe tonight,totally agree tweet,know tweet picture like,repost think poor woman family delete,,glad hear poor woman die pic post net click wrong,know good idea tweet real time guy,report block post sensitive image suggest u,,,yep wrong sure report update want image,adhere police request publicise image,yep care wanna cash wish post pic,,right sorry delete,pig australian medium joke image awful distasteful,,agree fke shameful post absolute c nt sydney morning herald,surely think okay poor girl face blur website,angle shot sky news indicate police request medium broadcast blur hostage face,totally agree wonder report twitter police,god bless colleague strong safe pray,report image contain sensitive image hope police deal medium later date,heartbreaking picture family devastate disguise face privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard sleep tonight know innocent people far fear hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australian prime minister tony abbott addressing incident sydney watch live cnngo,piece shit arab die,dio proteja los rehene,australian prime minister tony abbott addressing incident sydney watch live cnngo,cover cnn tv,ho shit know look shirt,wow figure important good,,hey feinstein watch,doubt islamic terrorist pakistani origin,swat team aboriginal boomerang,wish arab die look different terrorist act criminal behaivor,ha ha let find blame pakistan,australian prime minister tony abbott addressing incident sydney watch live cnngo,great political commentary killer fashion sense boot love fedora,australian prime minister tony abbott addressing incident sydney watch live cnngo,,u r b e s fault,nation like howeva people like u believe u know,yes right hate arab horrible disgusting people,hostage take islamist incident terrorist need string,australian prime minister tony abbott addressing incident sydney watch live cnngo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fact religious loner exactly isil aim inspire modus operandi,real source apart people wild belief islamic caliphate way forward frightening,,help publicize barrett story,  problem solve invite join conservative party,yes absolutely comfortable term self starter early want alternative,feel free berate noble sentiment nationalism kill way people,like mohammed order follower murder people,lone operator lone detect pattern,repeat muslims murderer decency,good point hopefully turn trend ten hundred individual,bring harmfulness cocaine defend pcp,lone wolf lone wolf follower facebook surely not follow pro rape life,problem maajid religious loner continuous stream muslim nut job attack,oh word think tear jihad quash fallacy let look communist murder,yes religious lone wolf muslim find support terrorism ' holy book ',head goat ass nawaz islam cult religion god bless uk usa amp australia,,,  angry nutter religion excuse,  attack terrifying scenario world deal largely unstoppable,true think categorize attack lone wolf inaccurate description,breathe say muslims billion million murderer idiot,coran coran muslims different stupid great,  angry white atheist wish group join brutalise ppl behalf,,  like mohammed order follower murder people misunderstood don t think,indicate fundamentally wrong ideology,maajid penny pinch sensationalist,repeat muslim murderer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney muslims thank,suppose abbott shorten amp crap merchant muslim pr rant,  disgrace friend try use illridewithyou intentionally hurt people check fact,notice gt reaction remind muslims report ' islamophobia ' fb page,opinion remember need politically correct,live lovely friendly muslim people syria,block bobbie worth,love muslim terrorist jail,know rhodesia know idiot aussie tell rhodesian country native,dead muslim smile bike offensive especially family wan cry,hour grief innocent die sick mind regale,sydney muslims thank death hostage,hate innocent people think london attack right thing liberal follow,race responsible child dead pakistan morning,disgrace joke surely picture disgrace like truth,understand ppl wrong wrong way look disgrace big time,  double fuck,agree dumb dumb hack,support religious garb muslim thank,victim think kill terrorist gun mistake,civilized people care muzzie target harass,mistake say terrorist gun muslim terrorist gun,fuck australia abo people control country hmm,yep come block awful people,long home safe public transport ok,live lovely peaceful muslim friend syria,waste time bother ppl answer swear word show ignorance,  die cafe muslims victim like offer condolence family die,talk cheap protest disown gunman thousand way,outrage moderate muslim mass rally plan,protest ander brevik support,talk have priority check,people care kill fact innocent people pay,mt process create web app help easy people,listen geyser fuck hell clean pommie green tooth,un fucking believable,,piece goat shit gt gt gt gt gt say australian deserve threat,happy muslim bike hostage shotgun head wonder people stand,pom know rhodesia hmm,,funny bigot racist stupid pommie green tooth pathetic,amazing troll bring,religion peace read quran,,sadly miss important point mr ms stupid troll,silly comment like islam religion peace,muslims usually come thousand effect,coward block look racist,  disgrace fuck,,intelligent lefty liberal intelligent word retort wow,beg pardon show muslim terrorist london traveller islam,nope nice normal type,bad attack hmm family kill terrorist muslim,thank hear say hostage taker,know pay imagine people dead gun hero acknowledge,,,innocent victim peace guess,comment harm anybody opinion feel way argue point intelligence,muslims respect heartless cow,mean france england,lose family peaceful religion islam maybe ignorant,yeah problem islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muslim follower religion islam terrorist person engage inhumane violent act,answer read quran,omg preach preach,muslim terrorist forget wtb,mean smh wrong islam,,yes muslim person follow desert death cult like islam prefer humanity,know want original citation arabic say,,,,block muslim amp liar,deserve die ugly piece trash,muslim know write quran shut fuck,m muslim muslims respect respect not respect ur,big word try intimidate friend racist bc believe bullshit,foff terrorist pedophile desert cult follower deserve lock guantanamo bay,wonder brain leave program deny endlessly,know cause musilm,,,read quran yr homework change incidently doubt u rd arabic,show isis quran say,grow ideology read,,quran read quran,denyine give scientific rational argument,mirror truth puncture narcissism go awry,kafir muslims want dead yes right islam create terrorist,congratulate capacity deny deny,  bisness respect quran learn respect respect hope understand clear,,omg give exact reference,patient muslim mad right learn patient not,,quran cite kill kafir non believer kafir lose land r new land plant bomb,mind yr language evidently not know read quran,,mean terrorist wrongly accuse quran blame terrorist,,trust abt religion muslim innocent palestine attack israel care abt,quote fact research tweet base,use quran excuse terrorism yes,islam violent cult base quran call killing non muslims islam create terrorist,bomb attack city follow book denial yr rt,know people beg differ thing dude say fuck,,  mind ur bisness,fyi islam say kofr tell person kafir,medium feed islam,islam teach kill people yes kafir right religion want,arab dumb fuck read tue quran,,read quran know religion,use quran excuse terrorism,oh m muslim not want dead actully muslim understand religion will not want dead,,,,prove islam say kill muslim islam live peacefully,st hand quran application islamist steal bomb attack etc,rude not muslim give right islam create terrorist,wrong quran say specially muslim kill haram islam peace,yes aware tire ppl leap islams defence draw conclusion base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unconfirmed report contact sydney radio station,unconfrimed break news,shock jock think terrorist expert gb,,not belive hadlet rating,unconfirmed report news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gunfire sydney cafe hostage hold report say person shoot hostage flee,gunfire sydney cafe hostage hold reportedly person shoot hostage flee,,,umm maybe good time try gain convert believe guy representative muslim,,gunfire sydney cafe hostage hold report say person shoot hostage flee,sheesh guy world go nuts smh tell,christian dice believe christ redeem forgiveness,police officer move,  gunfire sydney cafe hostage hold report say person shoot hostage flee,meh fuck cnn hour break news,gunfire sydney cafe hostage hold report say person shoot hostage flee,s dryer mystery apt laundry rm amp lose sock unit theft terror plot cnnreport,,rt gunfire sydney cafe hostage hold report say person shoot hostage flee,gunfire sydney cafe hostage hold report say person shoot hostage flee,cnn devote hour like mh michael jackson,,sheesh guy world go nut,let hope person shoot isis terrorist police hostage hurt,lolz usually busy try socially engineer society,pray people sydney safe,,pls hostages amp police safe,want invite religion hope know islam,corp media like cnn approval report punk,,gunfire sydney cafe hostage hold report say person shoot hostage flee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pray hold hostage right sydney police responsible peace prevail,thank joel work far heap phone call people inquire safety,pray hold hostage right sydney police responsible peace prevail,declare peace freedom,,,,pray jesus ' non violent solution,,wale pray city,,,pray pond spirit peace fall sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coward gt hostage force display islamic flag woman asshield,read bit koran recently amp radical islam teaching koran take extreme amp literally,give read heavy duty office shredder mulch,problem arise w blindly follow question examine reconcile w per belief,idk contradicted religion bunch nonsense like,wow ur cool hail satan,,verse tbh fan abrahamic religion evil,insightful highlight qur'an diff color love allah,  flash bang shot center mass problem solve come,people want god bible change love,religion nonsense get bash,use logic people fully represent religion claim,get to run love talk,religion right belief force belief society amp beheading,pm australia say know political oh maybe militant wing salvation army,bible get quran interpretation islam hate website b,alright fun run thank time,,muslim assume justnat read koran v live,,dogma great form ignorance,wait woman shield muslims lt sarc gt,,  say opposite jesus say bad,,allah capricious trust change mind fit narrative muhammad,' woman shield ' sound familiar hint hamas,action muslim terrorize kill perfectly match teaching qur'an hadith,get to mennonite pretty scary,  cover inadequacy perfect god,assume muslim buddhist ppl attack islam like,let rock paper scissor guess terrorist duhh,ohh yea see think sorry forgot untag,jews amp christians,s verses quran tell u u kill person kill humanity,,surah allah love non believer allah love turn away friend,bad religion bible amp quran finish,muslim terrorist terrorist muslim,rt nd half get u muslim say tell christ say,islam democracy coexist,hindus parent country bomb buddhist amp muslim u know,islam religion slave fool islam communism identical,follow christ abide organized religion bible truth religion man try,roman sinner christ die god love non believer turn away,,  punish kill believe allah prove god profess,heck cus ppl fuck mean religion mad fair,plan finish see verse disturb bad bash,,lot side patience work read urself,oh kinda run car k sticker prob time u want talk,demand mosque burn ground,  hateful spiteful allah book stripe love hateful love spiteful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evacuate consulate sydney emergency warn u s citizen urge maintain high level vigilance,know guy piss get fire foreclose gf cheat,,scary hope situation resolve soon amp peacefully possible,destructive foreign policy think day require vigilance,curious ' evacuate ' mean leave country city area know,,maintain high level vigilance obama say islamic terrorist exist america remember,twitterverse aussie act like normandy landing imminent flag arabic crazy fear,,good thing feinstein sure happen,hope safe speedy resolution pray hurt unlikely consider,,rt evacuate consulate sydney emergency warn citizen maintain high level vigilance,consensus translation headband sacrifice o mohame caveat photo blurry text incomplete,,make sense read cia report surprise hs take long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
